구분,강력범죄,절도범죄,폭력범죄,지능범죄,풍속범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
서울,6683,46861,64601,72137,5647,17109,1449,3875,58,74270,509,19,180,4120,44407
부산,1630,16777,20444,25052,2201,8134,963,2365,223,32944,209,6,60,662,22296
대구,1028,9171,14557,13227,1586,2756,334,289,11,31682,96,2,28,615,10712
인천,1817,10025,19881,17248,1711,3741,641,957,85,30972,80,4,64,1281,14952
광주,796,6050,8610,8896,667,1616,75,249,8,22137,29,8,7,330,4809
대전,724,6981,9183,8979,896,1465,117,213,14,14524,96,1,17,555,5268
울산,523,4227,7803,6120,926,1159,78,226,47,14105,75,2,33,222,4784
세종,58,638,822,821,57,357,8,22,4,1234,6,1,7,131,495
경기 고양,382,2606,4669,5307,351,1010,92,214,41,12280,47,2,10,347,4025
경기 과천,25,159,301,280,35,40,2,5,8,934,0,0,1,2,358
경기 광명,143,1221,2078,1501,144,756,26,104,10,3141,12,0,9,63,1476
경기 광주,104,881,1799,1662,148,317,19,64,66,4171,12,0,2,110,2175
경기 구리,136,936,1549,1501,131,244,30,56,4,2225,12,0,3,75,1123
경기 군포,96,837,1419,1425,96,314,9,81,2,2801,4,1,2,63,1101
경기 김포,134,1004,1298,2200,109,398,44,56,3,4124,5,0,3,64,1863
경기 남양주,266,1470,3391,2901,200,555,63,359,63,5542,35,1,13,236,3232
경기 동두천,53,342,729,592,35,104,9,21,5,1158,0,0,1,41,454
경기 부천,530,4471,5836,6451,410,1054,80,132,19,10437,54,2,12,311,6287
경기 성남,525,3963,5553,5570,598,1459,66,204,13,12472,25,2,11,314,6863
경기 수원,654,5610,7883,7177,684,1402,95,324,20,17841,59,5,17,415,8542
경기 시흥,221,1500,3143,2856,193,549,55,72,79,10640,14,0,10,183,4021
경기 안산,491,3285,5822,5376,403,1039,110,147,106,13356,13,0,23,268,6007
경기 안성,86,791,1127,925,56,209,29,41,9,2778,3,0,5,73,1158
경기 안양,298,2003,3729,3114,533,746,35,113,8,5789,359,0,5,135,2876
경기 양주,71,445,1323,1190,60,173,15,94,68,2771,4,1,7,117,968
경기 여주,70,450,688,666,43,118,11,21,3,2064,0,0,2,15,874
경기 오산,103,1017,1545,1061,110,236,8,65,22,2738,1,0,8,119,1837
경기 용인,267,2468,4043,3916,305,614,90,140,86,8695,24,1,11,203,4291
경기 의왕,36,232,568,439,50,106,5,18,1,1765,1,0,3,38,616
경기 의정부,242,1753,3310,2573,188,562,117,108,7,3726,57,1,4,160,2064
경기 이천,97,632,1498,1273,90,186,16,58,25,3023,5,0,6,59,1364
경기 파주,145,1291,2086,2529,155,486,38,64,65,6456,11,0,10,142,1705
경기 평택,252,1813,3829,2999,257,674,111,130,78,9630,12,1,7,141,5288
경기 포천,103,546,1112,1034,47,228,18,29,160,2872,12,0,5,82,883
경기 하남,28,528,791,717,119,133,7,54,15,2771,1,0,0,62,1217
경기 화성,195,1866,3119,3022,164,605,55,197,213,8262,13,0,3,189,4984
강원 강릉,107,786,1829,1206,57,156,9,54,21,2387,5,0,2,41,1252
강원 동해,47,179,706,367,27,73,3,30,18,1530,0,0,4,26,523
강원 삼척,27,226,585,408,18,50,9,14,19,1330,0,1,2,6,593
강원 속초,46,310,778,402,32,108,4,74,12,1568,1,0,4,9,626
강원 원주,144,1310,2944,2154,103,255,69,65,21,6378,5,1,2,72,1378
강원 춘천,129,1117,1819,1265,79,301,62,51,11,5004,8,0,5,61,1188
강원 태백,18,119,387,179,11,24,2,2,1,616,5,0,2,6,154
충북 제천,63,463,801,585,42,74,35,55,7,1773,2,0,8,25,434
충북 청주,370,3711,5550,4191,397,682,151,121,8,10373,19,1,6,315,3713
충북 충주,114,785,1046,1157,66,160,52,56,5,4168,5,1,1,50,672
충남 계룡,6,54,75,94,3,15,2,0,1,171,7,0,0,12,54
충남 공주,59,439,403,525,99,71,7,12,1,1216,1,0,5,27,392
충남 논산,51,526,493,664,38,64,14,23,11,1326,0,0,1,66,439
충남 당진,72,615,876,1604,65,129,28,24,5,2019,6,0,1,74,2602
충남 보령,63,462,398,666,50,80,20,48,8,1456,2,0,1,32,634
충남 서산,85,674,893,942,69,116,31,14,31,1617,2,0,4,38,635
충남 아산,127,1256,1866,1374,114,279,37,45,2,2455,11,0,0,88,946
충남 천안,347,3277,3597,4059,284,724,59,83,36,8371,19,4,12,604,2523
전북 군산,93,1010,1773,2474,229,215,10,87,17,2834,8,1,8,89,2014
전북 김제,24,243,447,394,42,45,5,14,2,1018,1,0,4,21,323
전북 남원,28,239,468,414,34,51,2,31,0,695,2,0,3,15,298
전북 익산,133,1153,1703,1489,213,214,9,68,41,3088,4,0,19,65,1539
전북 전주,274,2386,3087,3567,345,420,44,155,5,5580,20,0,22,161,2871
전북 정읍,44,245,573,626,23,62,1,32,6,1095,3,0,5,18,369
전남 광양,59,401,687,702,40,87,9,31,8,2450,3,0,5,17,390
전남 나주,12,45,47,225,5,25,2,5,5,253,0,0,3,2,103
전남 목포,165,1196,2172,1505,120,238,19,37,24,4356,27,0,4,98,1758
전남 순천,122,884,1709,1144,106,221,25,41,3,5024,7,0,3,65,823
전남 여수,106,1076,2017,2053,87,209,39,53,1291,4975,6,0,24,59,1143
경북 경산,100,1319,1650,1194,177,231,26,23,1,2344,11,0,0,96,876
경북 경주,108,1143,1308,1338,221,183,23,48,43,3794,3,0,1,50,913
경북 구미,141,1562,2173,3091,289,386,39,78,29,8552,21,0,10,199,1414
경북 김천,40,450,769,479,29,90,20,37,5,1916,2,0,1,20,413
경북 문경,23,228,357,225,9,34,31,4,0,920,1,0,0,10,211
경북 상주,30,262,410,317,31,26,43,11,29,1112,3,0,10,16,233
경북 안동,65,574,1056,1495,59,154,16,29,14,1609,3,0,11,25,551
경북 영주,25,269,488,593,112,75,29,9,1,1227,10,0,0,15,285
경북 영천,32,344,524,534,30,63,18,13,37,1154,0,0,3,20,282
경북 포항,192,1942,2679,2782,182,478,16,92,53,7488,19,0,6,137,1828
경남 거제,114,1114,1685,2016,150,349,42,53,31,4820,21,0,4,104,1223
경남 김해,188,2380,3193,3166,164,585,152,131,78,7346,33,0,14,173,2036
경남 밀양,31,413,496,538,15,82,40,39,24,1243,1,1,1,37,392
경남 사천,42,307,590,558,18,72,25,36,15,1908,3,0,3,15,534
경남 양산,128,974,1492,1560,104,272,33,93,8,3760,11,0,8,164,1476
경남 진주,127,1700,1752,1561,98,455,128,102,46,3749,12,0,18,80,1349
경남 창원,357,3760,5615,6682,497,997,164,261,69,12594,78,4,23,292,4535
경남 통영,50,551,985,858,95,140,27,20,23,2430,70,0,4,41,2308
제주 서귀포,128,927,1632,955,72,643,5,26,15,4060,3,0,5,84,1265
제주 제주,365,2573,4471,3108,411,713,34,88,13,11642,8,2,12,145,3480
기타도시,62,369,493,2055,177,902,19,26,23,1287,3,2,6,62,1187
도시이외,1470,9839,15708,18300,1022,2293,720,951,523,43990,67,3,129,761,17984
